pakketnummer,pakketnaam,pokon,doosnummers
72.6,Rhododendron P13 Pink x 3,nee,8
72.6p,Rhododendron P13 Pink x 3,ja,8
72.7,Rhododendron P13 Pink x 6,nee,9
72.7p,Rhododendron P13 Pink x 6,ja,9
72.8,"Rhododendron P13 Mix x 3 (Rood, Roze, Wit)",nee,8
72.8p,"Rhododendron P13 Mix x 3 (Rood, Roze, Wit)",ja,8
72.9,"Rhododendron P13 Mix x 6 (Rood, Roze, Wit)",nee,9
72.9p,"Rhododendron P13 Mix x 6 (Rood, Roze, Wit)",ja,9
100.1,Olijfbomen winterhard op stam XXL x 1,nee,10
100.1p,Olijfbomen winterhard op stam XXL x 1,ja,10
100.2,Olijfbomen winterhard op stam XXL x 2,nee,11
100.2p,Olijfbomen winterhard op stam XXL x 2,ja,11
100.3,Olijfbomen winterhard op stam medium x 1,nee,3
100.3p,Olijfbomen winterhard op stam medium x 1,ja,3
100.4,Olijfbomen winterhard op stam medium x 2,nee,3
100.4p,Olijfbomen winterhard op stam medium x 2,ja,3
100.5,Olijfbomen winterhard struik x1,nee,3
100.5p,Olijfbomen winterhard struik x1,ja,3
100.6,Olijfbomen winterhard struik x2,nee,3
100.6p,Olijfbomen winterhard struik x2,ja,3
101.6,Tropische oleander planten x 4 Mix,nee,1
101.6p,Tropische oleander planten x 4 Mix,ja,14
101.7,Tropische oleander planten x 8 Mix,nee,2
101.7p,Tropische oleander planten x 8 Mix,ja,12
102.1,Set van 3 bananenplanten,nee,9
102.1p,Set van 3 bananenplanten,ja,9
102.2,Set van 6 bananenplanten,nee,9
102.2p,Set van 6 bananenplanten,ja,9
103.1,Asimina triloba – Pawpaw / Indianenbanaan x 1,nee,15
103.1p,Asimina triloba – Pawpaw / Indianenbanaan x 1,ja,15
104.1,Strelitzia Reginae x 3,nee,15
104.1p,Strelitzia Reginae x 3,ja,14 + 15
104.2,Strelitzia Reginae x 6,nee,14
104.2p,Strelitzia Reginae x 6,ja,2
105.0,Calliandra surinamensis 'Dixie Pink' x 2,nee,15
105.0p,Calliandra surinamensis 'Dixie Pink' x 2,ja,14 + 15
105.1,Calliandra surinamensis 'Dixie Pink' x 3,nee,15
105.1p,Calliandra surinamensis 'Dixie Pink' x 3,ja,1
105.2,Calliandra surinamensis 'Dixie Pink' x 6,nee,14
105.2p,Calliandra surinamensis 'Dixie Pink' x 6,ja,2
106.0,Citrus trifoliata x 2,nee,15
106.0p,Citrus trifoliata x 2,ja,14 + 15
106.1,Citrus trifoliata x 3,nee,15
106.1p,Citrus trifoliata x 3,ja,1
106.2,Citrus trifoliata x 6,nee,14
106.2p,Citrus trifoliata x 6,ja,2
107.0,Choisya ternata 'Sundance' x 2,nee,15
107.0p,Choisya ternata 'Sundance' x 2,ja,14 + 15
107.1,Choisya ternata 'Sundance' x 3,nee,15
107.1p,Choisya ternata 'Sundance' x 3,ja,1
107.2,Choisya ternata 'Sundance' x 6,nee,14
107.2p,Choisya ternata 'Sundance' x 6,ja,2
114.1,Exotic kamerplanten mix x4,nee,9
114.1p,Exotic kamerplanten mix x4,ja,9
115.1,Trendy kamerplanten mix x4,nee,9
115.1p,Trendy kamerplanten mix x4,ja,9
116.1,Premium kamerplanten mix x4,nee,9
116.1p,Premium kamerplanten mix x4,ja,9
117.1,Luchtzuiverende Kamerplanten x 5,nee,9
117.1p,Luchtzuiverende Kamerplanten x 5,ja,9
118.1,Tropische kamerplanten x 4,nee,9
118.1p,Tropische kamerplanten x 4,ja,9
119.1,Onderhoudsvriendelijke kamerplanten x 4,nee,9
119.1p,Onderhoudsvriendelijke kamerplanten x 4,ja,9
120.1,Drakenbloedboom x 4,nee,9
120.1p,Drakenbloedboom x 4,ja,9
121.1,Ficus Treurvijgen kamerplantenset x 3,nee,8
121.1p,Ficus Treurvijgen kamerplantenset x 3,ja,8
122.1,Varen kamerplanten set x 3,nee,8
122.1p,Varen kamerplanten set x 3,ja,8
123.1,Oriental kamerplanten set x 3,nee,8
123.1p,Oriental kamerplanten set x 3,ja,8
128.1,Chamaedorea Elegans Large x 1,nee,3
128.1p,Chamaedorea Elegans Large x 1,ja,3
128.2,Chamaedorea Elegans Large x 2,nee,3
128.2p,Chamaedorea Elegans Large x 2,ja,3
141.1,Cycas Revoluta x1,nee,3
141.1p,Cycas Revoluta x1,ja,3
141.2,Cycas Revoluta x2,nee,3
141.2p,Cycas Revoluta x2,ja,3
141.3,Cycas Revoluta x 1 Large,nee,10
141.3p,Cycas Revoluta x 1 Large,ja,10
141.4,Cycas Revoluta x 2 Large,nee,11
141.4p,Cycas Revoluta x 2 Large,ja,11
150.1,Chamaerops humilis medium x 1,nee,3
150.1p,Chamaerops humilis medium x 1,ja,3
150.2,Chamaerops humilis medium x 2,nee,10
150.2p,Chamaerops humilis medium x 2,ja,10
150.3,Chamaerops humilis large x 1,nee,11
150.3p,Chamaerops humilis large x 1,ja,11
150.4,Chamaerops humilis large x 2,nee,11
150.4p,Chamaerops humilis large x 2,ja,11
151.1,Phoenix canariensis medium x 1,nee,3
151.1p,Phoenix canariensis medium x 1,ja,3
151.2,Phoenix canariensis medium x 2,nee,10
151.2p,Phoenix canariensis medium x 2,ja,10
151.3,Phoenix canariensis large x 1,nee,10
151.3p,Phoenix canariensis large x 1,ja,10
151.4,Phoenix canariensis large x 2,nee,11
151.4p,Phoenix canariensis large x 2,ja,11
152.1,Trachycarpus fortunei medium x 1,nee,3
152.1p,Trachycarpus fortunei medium x 1,ja,3
152.2,Trachycarpus fortunei medium x 2,nee,10
152.2p,Trachycarpus fortunei medium x 2,ja,10
152.3,Trachycarpus fortunei large x 1,nee,11
152.3p,Trachycarpus fortunei large x 1,ja,11
152.4,Trachycarpus fortunei large x 2,nee,11
152.4p,Trachycarpus fortunei large x 2,ja,11
153.1,Washingtonia robusta medium x 1,nee,3
153.1p,Washingtonia robusta medium x 1,ja,3
153.2,Washingtonia robusta medium x 2,nee,10
153.2p,Washingtonia robusta medium x 2,ja,10
153.3,Washingtonia robusta large x 1,nee,11
153.3p,Washingtonia robusta large x 1,ja,11
153.4,Washingtonia robusta large x 2,nee,11
153.4p,Washingtonia robusta large x 2,ja,11
160.1,Palmen mix x 4,nee,11
160.1p,Palmen mix x 4,ja,11
161.0,Olea europaea 1/2 stam XL x 1,nee,10
161.0p,Olea europaea 1/2 stam XL x 1,ja,10
161.1,Olea europaea 1/2 stam XL x 2,nee,10
161.1p,Olea europaea 1/2 stam XL x 2,ja,10
161.2,Olea europaea 1/2 stam XL x 4,nee,11
161.2p,Olea europaea 1/2 stam XL x 4,ja,11
200.0,C2 - Blauwe Bes x 2,nee,3
200.0p,C2 - Blauwe Bes x 2,ja,3
200.1,C2 - Braam x 2,nee,3
200.1p,C2 - Braam x 2,ja,3
200.2,C2 - Druif Blauw x 2,nee,3
200.2p,C2 - Druif Blauw x 2,ja,3
200.3,C2 - Druif Wit x 2,nee,3
200.3p,C2 - Druif Wit x 2,ja,3
200.4,C2 - Framboos x 2,nee,3
200.4p,C2 - Framboos x 2,ja,3
200.5,C2 - Rode Bes x 2,nee,3
200.5p,C2 - Rode Bes x 2,ja,3
200.6,C2 - Kruisbes Groen x 2,nee,3
200.6p,C2 - Kruisbes Groen x 2,ja,3
200.7,C2 - Kruisbes Rood x 2,nee,3
200.7p,C2 - Kruisbes Rood x 2,ja,3
200.8,C2 - Witte Bes x 2,nee,3
200.8p,C2 - Witte Bes x 2,ja,3
200.9,C2 - Zwarte Bes x 2,nee,3
200.9p,C2 - Zwarte Bes x 2,ja,3
201.0,"C2 - Blauwe Bes, Rode Bes, Witte Bes, Zwarte Bes",nee,9
201.0p,"C2 - Blauwe Bes, Rode Bes, Witte Bes, Zwarte Bes",ja,9
201.1,"C2 - Blauwe Bes, Braam, Framboos, Rode Bes",nee,9
201.1p,"C2 - Blauwe Bes, Braam, Framboos, Rode Bes",ja,9
201.2,"C2 - Druif Blauw, Druif Wit, Framboos, Braam",nee,9
201.2p,"C2 - Druif Blauw, Druif Wit, Framboos, Braam",ja,9
201.3,"C2 - Kruisbes Gr, Kruisbes Ro, Rode Bes, Zwarte Bes",nee,9
201.3p,"C2 - Kruisbes Gr, Kruisbes Ro, Rode Bes, Zwarte Bes",ja,9
201.4,"C2 - Blauwe Bes, Braam, Druif Wit, Framboos",nee,9
201.4p,"C2 - Blauwe Bes, Braam, Druif Wit, Framboos",ja,9
201.5,"C2 - Blauwe Bes, Druif Blauw, Framboos, Rode Bes",nee,9
201.5p,"C2 - Blauwe Bes, Druif Blauw, Framboos, Rode Bes",ja,9
201.6,"C2 - Kruisbes Gr, Kruisbes Rood, Bl Bes, Witte Bes",nee,9
201.6p,"C2 - Kruisbes Gr, Kruisbes Rood, Bl Bes, Witte Bes",ja,9
202.0,C4 - Zuil Appel x 2,nee,10
202.0p,C4 - Zuil Appel x 2,ja,10
202.1,C4 - Zuil Peer x 2,nee,10
202.1p,C4 - Zuil Peer x 2,ja,10
202.2,C4 - Zuil Appel en Peer Mix x 2,nee,10
202.2p,C4 - Zuil Appel en Peer Mix x 2,ja,10
202.3,C4 - Zuil Appel x 1,nee,10
202.3p,C4 - Zuil Appel x 1,ja,10
202.4,C4 - Zuil Peer x 1,nee,10
202.4p,C4 - Zuil Peer x 1,ja,10
204.0,C2 - Wisteria sinensis 'Alba' Wit x 2,nee,10
204.0p,C2 - Wisteria sinensis 'Alba' Wit x 2,ja,10
204.1,C2 - Wisteria sinensis 'Rosea' Roze x 2,nee,10
204.1p,C2 - Wisteria sinensis 'Rosea' Roze x 2,ja,10
204.2,C2 - Wisteria sinensis 'Prolific' Blauw x 2,nee,10
204.2p,C2 - Wisteria sinensis 'Prolific' Blauw x 2,ja,10
204.3,C2 - Wisteria sinensis Mix x 3,nee,10
204.3p,C2 - Wisteria sinensis Mix x 3,ja,10
206.1,C2 - Hydrangea macr. Blauw x 1,nee,3
206.1p,C2 - Hydrangea macr. Blauw x 1,ja,3
206.2,C2 - Hydrangea macr. Rood x 1,nee,3
206.2p,C2 - Hydrangea macr. Rood x 1,ja,3
206.3,C2 - Hydrangea macr. Roze x 1,nee,3
206.3p,C2 - Hydrangea macr. Roze x 1,ja,3
206.4,C2 - Hydrangea macr. Wit x 1,nee,3
206.4p,C2 - Hydrangea macr. Wit x 1,ja,3
207.0,C2 - Hydrangea macr. Blauw x 2,nee,3
207.0p,C2 - Hydrangea macr. Blauw x 2,ja,3
207.1,C2 - Hydrangea macr. Rood x 2,nee,3
207.1p,C2 - Hydrangea macr. Rood x 2,ja,3
207.2,C2 - Hydrangea macr. Roze x 2,nee,3
207.2p,C2 - Hydrangea macr. Roze x 2,ja,3
207.3,C2 - Hydrangea macr. Wit x 2,nee,3
207.3p,C2 - Hydrangea macr. Wit x 2,ja,3
207.4,C2 - Hydrangea macr. Mix x 4,nee,4
207.4p,C2 - Hydrangea macr. Mix x 4,ja,4
209.0,C2 - Cornus alba 'Siberica' x 2,nee,3
209.0p,C2 - Cornus alba 'Siberica' x 2,ja,3
209.1,C2 - Deutzia scabra x 2,nee,3
209.1p,C2 - Deutzia scabra x 2,ja,3
209.2,C2 - Forsythia int. 'Spectabilis' x 2,nee,3
209.2p,C2 - Forsythia int. 'Spectabilis' x 2,ja,3
209.3,C2 - Philadelphus 'Virginal' x 2,nee,3
209.3p,C2 - Philadelphus 'Virginal' x 2,ja,3
209.4,C2 - Weigela 'Bristol Ruby' x 2,nee,3
209.4p,C2 - Weigela 'Bristol Ruby' x 2,ja,3
209.5,C2 - Heester Mix x 5,nee,4
209.5p,C2 - Heester Mix x 5,ja,4
210.0,C3 - Hibiscus syr. 'Totus Albus' Wit x 2,nee,3
210.0p,C3 - Hibiscus syr. 'Totus Albus' Wit x 2,ja,3
210.1,C3 - Hibiscus syr. 'Oiseau Bleu' Blauw x 2,nee,3
210.1p,C3 - Hibiscus syr. 'Oiseau Bleu' Blauw x 2,ja,3
210.2,C3 - Hibiscus syr. 'Woodbridge' Roze x 2,nee,3
210.2p,C3 - Hibiscus syr. 'Woodbridge' Roze x 2,ja,3
210.3,C3 - Hibiscus syr. 'Hamabo' Wit met rood hart x 2,nee,3
210.3p,C3 - Hibiscus syr. 'Hamabo' Wit met rood hart x 2,ja,3
210.4,C3 - Hibiscus syr. Mix x 4,nee,4
210.4p,C3 - Hibiscus syr. Mix x 4,ja,4
230.1,Cotoneaster dammeri x 8 (per m2),nee,9
230.1p,Cotoneaster dammeri x 8 (per m2),ja,9
231.1,Lonicera nitida x 8 (per m2),nee,9
231.1p,Lonicera nitida x 8 (per m2),ja,9
232.1,Vinca minor (lila) x 8 (per m2),nee,9
232.1p,Vinca minor (lila) x 8 (per m2),ja,9
233.1,Vinca minor 'Albus' (wit) x 8 (per m2),nee,9
233.1p,Vinca minor 'Albus' (wit) x 8 (per m2),ja,9
234.1,Pachysandra terminalis x 8 (per m2),nee,9
234.1p,Pachysandra terminalis x 8 (per m2),ja,9
235.1,Hedera hibernica x 8 (per m2),nee,9
235.1p,Hedera hibernica x 8 (per m2),ja,9
236.0,Lavandula angustifolia 'Hidcote' x 4,nee,1
236.0p,Lavandula angustifolia 'Hidcote' x 4,ja,14
236.1,Lavandula angustifolia 'Hidcote' x 8 (per m2),nee,9
236.1p,Lavandula angustifolia 'Hidcote' x 8 (per m2),ja,9
237.0,Geranium 'Rozanne' x 3,nee,15
237.0p,Geranium 'Rozanne' x 3,ja,14 + 15
237.1,Geranium 'Rozanne' x 7 (per m2),nee,9
237.1p,Geranium 'Rozanne' x 7 (per m2),ja,9
249.0,Trachelospermum jasminoides P9 x 2 wit,nee,15
249.0p,Trachelospermum jasminoides P9 x 2 wit,ja,1
249.1,Trachelospermum jasminoides P9 x 3 wit,nee,15
249.1p,Trachelospermum jasminoides P9 x 3 wit,ja,14 + 15
249.2,Trachelospermum jasminoides P9 x 6 wit,nee,14
249.2p,Trachelospermum jasminoides P9 x 6 wit,ja,2
249.3,Trachelospermum jasminoides P9 x 3 roze,nee,15
249.3p,Trachelospermum jasminoides P9 x 3 roze,ja,14 + 15
249.4,Trachelospermum jasminoides P9 x 6 roze,nee,14
249.4p,Trachelospermum jasminoides P9 x 6 roze,ja,2
250.1,Trachelospermum jasminoides XXL wit x 1,nee,11
250.1p,Trachelospermum jasminoides XXL wit x 1,ja,11
250.2,Trachelospermum jasminoides XXL wit x 2,nee,11
250.2p,Trachelospermum jasminoides XXL wit x 2,ja,11
251.1,Trachelospermum jasminoides XXL roze x 1,nee,11
251.1p,Trachelospermum jasminoides XXL roze x 1,ja,11
251.2,Trachelospermum jasminoides XXL roze x 2,nee,11
251.2p,Trachelospermum jasminoides XXL roze x 2,ja,11
252.1,Trachelospermum jasminoides XXL geel x 1,nee,11
252.1p,Trachelospermum jasminoides XXL geel x 1,ja,11
252.2,Trachelospermum jasminoides XXL geel x 2,nee,11
252.2p,Trachelospermum jasminoides XXL geel x 2,ja,11
253.1,Ceanothus thyrsiflorus 'Repens'  XL Pyramide x 1,nee,3
253.1p,Ceanothus thyrsiflorus 'Repens'  XL Pyramide x 1,ja,3
253.2,Ceanothus thyrsiflorus 'Repens'  XL Pyramide x 2,nee,10
253.2p,Ceanothus thyrsiflorus 'Repens'  XL Pyramide x 2,ja,10
254.1,Campsis radicans 'Flava' XXL geel x 1,nee,11
254.1p,Campsis radicans 'Flava' XXL geel x 1,ja,11
254.2,Campsis radicans 'Flava' XXL geel x 2,nee,11
254.2p,Campsis radicans 'Flava' XXL geel x 2,ja,11
255.1,Campsis radicans  XXL oranje x 1,nee,11
255.1p,Campsis radicans  XXL oranje x 1,ja,11
255.2,Campsis radicans  XXL oranje x 2,nee,11
255.2p,Campsis radicans  XXL oranje x 2,ja,11
256.1,Campsis tagliabuana 'Madame Galen'  XXL rood x 1,nee,11
256.1p,Campsis tagliabuana 'Madame Galen'  XXL rood x 1,ja,11
256.2,Campsis tagliabuana 'Madame Galen'  XXL rood x 2,nee,11
256.2p,Campsis tagliabuana 'Madame Galen'  XXL rood x 2,ja,11
257.1,Lonicera henryi 'Copper Beauty' XXL geel x 1,nee,11
257.1p,Lonicera henryi 'Copper Beauty' XXL geel x 1,ja,11
257.2,Lonicera henryi 'Copper Beauty' XXL geel x 2,nee,11
257.2p,Lonicera henryi 'Copper Beauty' XXL geel x 2,ja,11
258.1,Lonicera heckrottii 'American Beauty' XXL rood/geel x 1,nee,11
258.1p,Lonicera heckrottii 'American Beauty' XXL rood/geel x 1,ja,11
258.2,Lonicera heckrottii 'American Beauty' XXL rood/geel x 2,nee,11
258.2p,Lonicera heckrottii 'American Beauty' XXL rood/geel x 2,ja,11
259.1,Eucalyptus 'Silver Dollar' XXL x 1,nee,11
259.1p,Eucalyptus 'Silver Dollar' XXL x 1,ja,11
259.2,Eucalyptus 'Silver Dollar' XXL x 2,nee,11
259.2p,Eucalyptus 'Silver Dollar' XXL x 2,ja,11
260.1,Passiflora caerulea XXL blauw x 1,nee,11
260.1p,Passiflora caerulea XXL blauw x 1,ja,11
260.2,Passiflora caerulea XXL blauw x 2,nee,11
260.2p,Passiflora caerulea XXL blauw x 2,ja,11
261.1,Passiflora caerulea 'Victoria' XXL roze/paars x 1,nee,11
261.1p,Passiflora caerulea 'Victoria' XXL roze/paars x 1,ja,11
261.2,Passiflora caerulea 'Victoria' roze/paars x 2,nee,11
261.2p,Passiflora caerulea 'Victoria' roze/paars x 2,ja,11
262.1,Passiflora caerulea 'Constance Elliot' XXL wit x 1,nee,11
262.1p,Passiflora caerulea 'Constance Elliot' XXL wit x 1,ja,11
262.2,Passiflora caerulea 'Constance Elliot' XXL wit x 2,nee,11
262.2p,Passiflora caerulea 'Constance Elliot' XXL wit x 2,ja,11
263.1,Bougainvillea glabra 'Alexandra' paars op rek x 1,nee,3
263.1p,Bougainvillea glabra 'Alexandra' paars op rek x 1,ja,3
263.2,Bougainvillea glabra 'Alexandra' paars op rek x 2,nee,10
263.2p,Bougainvillea glabra 'Alexandra' paars op rek x 2,ja,10
264.1,Ficus carica 'Brown Turkey' x 1 - P17,nee,3
264.1p,Ficus carica 'Brown Turkey' x 1 - P17,ja,3
264.2,Ficus carica 'Brown Turkey' x 2 - P17,nee,3
264.2p,Ficus carica 'Brown Turkey' x 2 - P17,ja,3
269.1,P10 - Fargesia 'Rufa' groene Bamboe x2,nee,15
269.1p,P10 - Fargesia 'Rufa' groene Bamboe x2,ja,1
270.0,C1 - Fargesia 'Rood'  x2,nee,8
270.0p,C1 - Fargesia 'Rood'  x2,ja,8
270.1,C1 - Fargesia 'Rood'  x3,nee,8
270.1p,C1 - Fargesia 'Rood'  x3,ja,8
270.2,C1 - Fargesia 'Rood'  x6,nee,9
270.2p,C1 - Fargesia 'Rood'  x6,ja,9
271.1,C1 - Fargesia 'Groen'  x3,nee,8
271.1p,C1 - Fargesia 'Groen'  x3,ja,8
271.2,C1 - Fargesia 'Groen'  x6,nee,9
271.2p,C1 - Fargesia 'Groen'  x6,ja,9
272.1,C2 - Fargesia 'Groen'  x2,nee,3
272.1p,C2 - Fargesia 'Groen'  x2,ja,3
272.2,C2 - Fargesia 'Groen'  x4,nee,4
272.2p,C2 - Fargesia 'Groen'  x4,ja,4
272.3,C2 - Fargesia 'Groen'  x6,nee,4
272.3p,C2 - Fargesia 'Groen'  x6,ja,4
273.1,C2 - Fargesia 'Rood'  x2,nee,3
273.1p,C2 - Fargesia 'Rood'  x2,ja,3
273.2,C2 - Fargesia 'Rood'  x4,nee,4
273.2p,C2 - Fargesia 'Rood'  x4,ja,4
273.3,C2 - Fargesia 'Rood'  x6,nee,4
273.3p,C2 - Fargesia 'Rood'  x6,ja,4
274.1,"Acer palmatum Mix P10,5 x4",nee,7
274.1p,"Acer palmatum Mix P10,5 x4",ja,7
274.2,"Acer palmatum 'Atropurpureum' P10,5  x2",nee,7
274.2p,"Acer palmatum 'Atropurpureum' P10,5  x2",ja,7
274.3,"Acer palmatum 'Butterfly' P10,5 x2",nee,7
274.3p,"Acer palmatum 'Butterfly' P10,5 x2",ja,7
274.4,"Acer palmatum 'Going Green' P10,5 x2",nee,7
274.4p,"Acer palmatum 'Going Green' P10,5 x2",ja,7
274.5,"Acer palmatum 'Orange Dream' P10,5 x2",nee,7
274.5p,"Acer palmatum 'Orange Dream' P10,5 x2",ja,7
275.1,Acer palmatum 'Atropurpureum' x1,nee,3
275.1p,Acer palmatum 'Atropurpureum' x1,ja,3
275.2,Acer palmatum 'Atropurpureum' x2,nee,10
275.2p,Acer palmatum 'Atropurpureum' x2,ja,10
276.1,Acer palmatum 'Beni-maiko' x1,nee,3
276.1p,Acer palmatum 'Beni-maiko' x1,ja,3
276.2,Acer palmatum 'Beni-maiko' x2,nee,10
276.2p,Acer palmatum 'Beni-maiko' x2,ja,10
277.1,Acer palmatum 'Butterfly' x1,nee,3
277.1p,Acer palmatum 'Butterfly' x1,ja,3
277.2,Acer palmatum 'Butterfly' x2,nee,10
277.2p,Acer palmatum 'Butterfly' x2,ja,10
278.1,Acer palmatum 'Orange Dream' x1,nee,3
278.1p,Acer palmatum 'Orange Dream' x1,ja,3
278.2,Acer palmatum 'Orange Dream' x2,nee,10
278.2p,Acer palmatum 'Orange Dream' x2,ja,10
279.1,Acer palmatum 'Shaina' x1,nee,10
279.1p,Acer palmatum 'Shaina' x1,ja,10
279.2,Acer palmatum 'Shaina' x2,nee,11
279.2p,Acer palmatum 'Shaina' x2,ja,11
279.3,Acer palmatum 'Shaina' Struik x1,nee,10
279.3p,Acer palmatum 'Shaina' Struik x1,ja,10
279.4,Acer palmatum 'Shaina' Struik x2,nee,10
279.4p,Acer palmatum 'Shaina' Struik x2,ja,10
280.1,Eucalyptus gunnii 'Azura' struik x1,nee,3
280.1p,Eucalyptus gunnii 'Azura' struik x1,ja,3
280.2,Eucalyptus gunnii 'Azura' struik x2,nee,3
280.2p,Eucalyptus gunnii 'Azura' struik x2,ja,3
281.1,Hydrangea arbo. 'Strong Annabelle'® x1,nee,3
281.1p,Hydrangea arbo. 'Strong Annabelle'® x1,ja,3
281.2,Hydrangea arbo. 'Strong Annabelle'® x2,nee,3
281.2p,Hydrangea arbo. 'Strong Annabelle'® x2,ja,3
281.3,Hydrangea arbo. 'Strong Annabelle'® x3,nee,4
281.3p,Hydrangea arbo. 'Strong Annabelle'® x3,ja,4
282.1,Hydrangea arbo. 'Pink Annabelle'® x1,nee,3
282.1p,Hydrangea arbo. 'Pink Annabelle'® x1,ja,3
282.2,Hydrangea arbo. 'Pink Annabelle'® x2,nee,3
282.2p,Hydrangea arbo. 'Pink Annabelle'® x2,ja,3
282.3,Hydrangea arbo. 'Pink Annabelle'® x3,nee,4
282.3p,Hydrangea arbo. 'Pink Annabelle'® x3,ja,4
283.1,Hydrangea arbo. 'Ruby Annabelle'® x1,nee,3
283.1p,Hydrangea arbo. 'Ruby Annabelle'® x1,ja,3
283.2,Hydrangea arbo. 'Ruby Annabelle'® x2,nee,3
283.2p,Hydrangea arbo. 'Ruby Annabelle'® x2,ja,3
283.3,Hydrangea arbo. 'Ruby Annabelle'® x3,nee,4
283.3p,Hydrangea arbo. 'Ruby Annabelle'® x3,ja,4
290.1,Acer palm. 'Atropurpureum' x1 - P15,nee,3
290.1p,Acer palm. 'Atropurpureum' x1 - P15,ja,3
290.2,Acer palm. 'Atropurpureum' x2 - P15,nee,3
290.2p,Acer palm. 'Atropurpureum' x2 - P15,ja,3
291.1,Acer palm. 'Butterfly' x1 - P15,nee,3
291.1p,Acer palm. 'Butterfly' x1 - P15,ja,3
291.2,Acer palm. 'Butterfly' x2 - P15,nee,3
291.2p,Acer palm. 'Butterfly' x2 - P15,ja,3
292.1,Acer palm. 'Going Green' x1 - P15,nee,3
292.1p,Acer palm. 'Going Green' x1 - P15,ja,3
292.2,Acer palm. 'Going Green' x2 - P15,nee,3
292.2p,Acer palm. 'Going Green' x2 - P15,ja,3
293.1,Acer palm. 'Orange Dream' x1 - P15,nee,3
293.1p,Acer palm. 'Orange Dream' x1 - P15,ja,3
293.2,Acer palm. 'Orange Dream' x2 - P15,nee,3
293.2p,Acer palm. 'Orange Dream' x2 - P15,ja,3
294.1,Acer palm. 'Extravaganza' x1 - P15,nee,3
294.1p,Acer palm. 'Extravaganza' x1 - P15,ja,3
294.2,Acer palm. 'Extravaganza' x2 - P15,nee,3
294.2p,Acer palm. 'Extravaganza' x2 - P15,ja,3
295.1,Acer palm. 'Taylor' x1 - P15,nee,3
295.1p,Acer palm. 'Taylor' x1 - P15,ja,3
295.2,Acer palm. 'Taylor' x2 - P15,nee,3
295.2p,Acer palm. 'Taylor' x2 - P15,ja,3
296.1,Acer shir. 'Moonrise' x1 - P15,nee,3
296.1p,Acer shir. 'Moonrise' x1 - P15,ja,3
296.2,Acer shir. 'Moonrise' x2 - P15,nee,3
296.2p,Acer shir. 'Moonrise' x2 - P15,ja,3
297.1,Acer cons. 'Red Flamingo' x1 - P19,nee,3
297.1p,Acer cons. 'Red Flamingo' x1 - P19,ja,3
297.2,Acer cons. 'Red Flamingo' x2 - P19,nee,10
297.2p,Acer cons. 'Red Flamingo' x2 - P19,ja,10
298.1,Acer palm. 'Dissectum' x1 - P19,nee,3
298.1p,Acer palm. 'Dissectum' x1 - P19,ja,3
298.2,Acer palm. 'Dissectum' x2 - P19,nee,10
298.2p,Acer palm. 'Dissectum' x2 - P19,ja,10
299.1,Acer palm. 'Extravaganza' x1 - P19,nee,3
299.1p,Acer palm. 'Extravaganza' x1 - P19,ja,3
299.2,Acer palm. 'Extravaganza' x2 - P19,nee,10
299.2p,Acer palm. 'Extravaganza' x2 - P19,ja,10
300.1,Acer palm. 'Garnet' x1 - P19,nee,3
300.1p,Acer palm. 'Garnet' x1 - P19,ja,3
300.2,Acer palm. 'Garnet' x2 - P19,nee,10
300.2p,Acer palm. 'Garnet' x2 - P19,ja,10
301.1,Acer palm. 'Orange Lace' x1 - P19,nee,3
301.1p,Acer palm. 'Orange Lace' x1 - P19,ja,3
301.2,Acer palm. 'Orange Lace' x2 - P19,nee,10
301.2p,Acer palm. 'Orange Lace' x2 - P19,ja,10
302.1,Acer palm. 'Taylor' x1 - P19,nee,3
302.1p,Acer palm. 'Taylor' x1 - P19,ja,3
302.2,Acer palm. 'Taylor' x2 - P19,nee,10
302.2p,Acer palm. 'Taylor' x2 - P19,ja,10
303.1,Acer palm. 'Trompenburg' x1 - P19,nee,3
303.1p,Acer palm. 'Trompenburg' x1 - P19,ja,3
303.2,Acer palm. 'Trompenburg' x2 - P19,nee,10
303.2p,Acer palm. 'Trompenburg' x2 - P19,ja,10
304.1,Acer palm. 'Ukigumo' x1 - P19,nee,3
304.1p,Acer palm. 'Ukigumo' x1 - P19,ja,3
304.2,Acer palm. 'Ukigumo' x2 - P19,nee,10
304.2p,Acer palm. 'Ukigumo' x2 - P19,ja,10
305.1,Acer shir. 'Aureum' x1 - P19,nee,3
305.1p,Acer shir. 'Aureum' x1 - P19,ja,3
305.2,Acer shir. 'Aureum' x2 - P19,nee,10
305.2p,Acer shir. 'Aureum' x2 - P19,ja,10
306.1,Acer shir. 'Moonrise' x1 stam - P19,nee,10
306.1p,Acer shir. 'Moonrise' x1 stam - P19,ja,10
306.2,Acer shir. 'Moonrise' x2 stam - P19,nee,10
306.2p,Acer shir. 'Moonrise' x2 stam - P19,ja,10
306.3,Acer shir. 'Moonrise' x1 struik - P19,nee,3
306.3p,Acer shir. 'Moonrise' x1 struik - P19,ja,3
306.4,Acer shir. 'Moonrise' x2 struik - P19,nee,3
306.4p,Acer shir. 'Moonrise' x2 struik - P19,ja,3
310.1,Acer palm. 'Emerald Lace' x1 - P24,nee,KB
310.1p,Acer palm. 'Emerald Lace' x1 - P24,ja,KB
310.2,Acer palm. 'Garnet' x1 - P24,nee,KB
