pakketnummer,pakketnaam,pokon,doosnummers
8.7p,Hydrangea pan. 'Pink Diamond' x3,ja,14 + 15
8.8,Hydrangea pan. 'Pink Diamond' x6,nee,14
8.8p,Hydrangea pan. 'Pink Diamond' x6,ja,2
8.9,Hydrangea pan. 'Kyushu' x3,nee,15
8.9p,Hydrangea pan. 'Kyushu' x3,ja,14 + 15
8.10,Hydrangea pan. 'Kyushu' x6,nee,14
8.10p,Hydrangea pan. 'Kyushu' x6,ja,2
8.11,Hydrangea arb. 'Annabelle' x3,nee,15
8.11p,Hydrangea arb. 'Annabelle' x3,ja,14 + 15
8.12,Hydrangea arb. 'Annabelle' x6,nee,14
8.12p,Hydrangea arb. 'Annabelle' x6,ja,2
8.13,Hydrangea macrophylla Wit x 3,nee,15
8.13p,Hydrangea macrophylla Wit x 3,ja,14 + 15
8.14,Hydrangea macrophylla Wit x 6,nee,14
8.14p,Hydrangea macrophylla Wit x 6,ja,2
8.15,Hydrangea macrophylla Roze x 3,nee,15
8.15p,Hydrangea macrophylla Roze x 3,ja,14 + 15
8.16,Hydrangea macrophylla Roze x 6,nee,14
8.16p,Hydrangea macrophylla Roze x 6,ja,2
8.17,Hydrangea macrophylla Rood x 3,nee,15
8.17p,Hydrangea macrophylla Rood x 3,ja,14 + 15
8.18,Hydrangea macrophylla Rood x 6,nee,14
8.18p,Hydrangea macrophylla Rood x 6,ja,2
8.19,Hydrangea macrophylla mix x 4,nee,1
8.19p,Hydrangea macrophylla mix x 4,ja,14
8.20,Hydrangea macrophylla mix x 8,nee,2
8.20p,Hydrangea macrophylla mix x 8,ja,12
8.21,Hydrangea pan. 'Limelight' x 2,nee,15
8.21p,Hydrangea pan. 'Limelight' x 2,ja,1
8.22,Hydrangea pan. 'Limelight' x 3,nee,15
8.22p,Hydrangea pan. 'Limelight' x 3,ja,14 + 15
8.23,Hydrangea pan. 'Limelight' x 6,nee,14
8.23p,Hydrangea pan. 'Limelight' x 6,ja,2
8.24,Hydrangea quercifolia 'Snow Queen' x 2,nee,15
8.24p,Hydrangea quercifolia 'Snow Queen' x 2,ja,1
8.25,Hydrangea quercifolia 'Snow Queen' x 3,nee,15
8.25p,Hydrangea quercifolia 'Snow Queen' x 3,ja,14 + 15
8.26,Hydrangea quercifolia 'Snow Queen' x 6,nee,14
8.26p,Hydrangea quercifolia 'Snow Queen' x 6,ja,2
9.1,Pampasgras wit x 2 roze x 2,nee,1
9.1p,Pampasgras wit x 2 roze x 2,ja,14
9.2,Pampasgras wit x 4 roze x 4,nee,2
9.2p,Pampasgras wit x 4 roze x 4,ja,12
9.4,Pampasgras wit x 3 roze x 3,nee,14
9.4p,Pampasgras wit x 3 roze x 3,ja,2
9.5,Pampasgras wit x 6,nee,14
9.5p,Pampasgras wit x 6,ja,2
9.6,Pampasgras roze x 6,nee,14
9.6p,Pampasgras roze x 6,ja,2
9.7,Pampasgras wit x 3,nee,15
9.7p,Pampasgras wit x 3,ja,14 + 15
9.8,Pampasgras roze x 3,nee,15
9.8p,Pampasgras roze x 3,ja,14 + 15
9.9,Pampasgras wit x 12 roze x 12,nee,EUR40
9.9p,Pampasgras wit x 12 roze x 12,ja,EUR40
9.10,Pampasgras wit x 2,nee,15
9.10p,Pampasgras wit x 2,ja,1
9.11,Pampasgras roze x 2,nee,15
9.11p,Pampasgras roze x 2,ja,1
10.1,Fruitplanten x 4,nee,1
10.1p,Fruitplanten x 4,ja,14
10.2,Fruitplanten x 8,nee,2
10.2p,Fruitplanten x 8,ja,12
10.3,Rode bes x3,nee,15
10.3p,Rode bes x3,ja,14 + 15
10.4,Zwarte bes x3,nee,15
10.4p,Zwarte bes x3,ja,14 + 15
10.5,Aalbes Mix x6,nee,14
10.5p,Aalbes Mix x6,ja,2
10.6,Framboos x3,nee,15
10.6p,Framboos x3,ja,14 + 15
10.7,Braam x3,nee,15
10.7p,Braam x3,ja,14 + 15
10.8,Rubus Mix x6,nee,14
10.8p,Rubus Mix x6,ja,2
10.9,Rode Kruisbes x3,nee,15
10.9p,Rode Kruisbes x3,ja,14 + 15
10.10,Groene Kruisbes x3,nee,15
10.10p,Groene Kruisbes x3,ja,14 + 15
10.11,Kruisbes mix x6,nee,14
10.11p,Kruisbes mix x6,ja,2
11.0,Fruitbomen x 3,nee,5
