pakketnummer,gebied,item,soort,aantal_per_pakket,groep,volgorde
201.6,KAS,C2 - Witte Bes,,1.0,Planten 2 liter ( C2 ):,249
201.6p,KAS,C2 - Witte Bes,,1.0,Planten 2 liter ( C2 ):,249
200.9,KAS,C2 - Zwarte Bes,,2.0,Planten 2 liter ( C2 ):,250
200.9p,KAS,C2 - Zwarte Bes,,2.0,Planten 2 liter ( C2 ):,250
201.0,KAS,C2 - Zwarte Bes,,1.0,Planten 2 liter ( C2 ):,250
201.0p,KAS,C2 - Zwarte Bes,,1.0,Planten 2 liter ( C2 ):,250
201.3,KAS,C2 - Zwarte Bes,,1.0,Planten 2 liter ( C2 ):,250
201.3p,KAS,C2 - Zwarte Bes,,1.0,Planten 2 liter ( C2 ):,250
204.0,KAS,C2 - Wisteria sin. 'Alba' Wit ,,2.0,Planten 2 liter ( C2 ):,252
204.0p,KAS,C2 - Wisteria sin. 'Alba' Wit ,,2.0,Planten 2 liter ( C2 ):,252
204.3,KAS,C2 - Wisteria sin. 'Alba' Wit ,,1.0,Planten 2 liter ( C2 ):,252
204.3p,KAS,C2 - Wisteria sin. 'Alba' Wit ,,1.0,Planten 2 liter ( C2 ):,252
204.1,KAS,C2 - Wisteria sin. 'Rosea' Roze ,,2.0,Planten 2 liter ( C2 ):,253
204.1p,KAS,C2 - Wisteria sin. 'Rosea' Roze ,,2.0,Planten 2 liter ( C2 ):,253
204.3,KAS,C2 - Wisteria sin. 'Rosea' Roze ,,1.0,Planten 2 liter ( C2 ):,253
204.3p,KAS,C2 - Wisteria sin. 'Rosea' Roze ,,1.0,Planten 2 liter ( C2 ):,253
204.2,KAS,C2 - Wisteria sin. 'Prolific' Blauw ,,2.0,Planten 2 liter ( C2 ):,254
204.2p,KAS,C2 - Wisteria sin. 'Prolific' Blauw ,,2.0,Planten 2 liter ( C2 ):,254
204.3,KAS,C2 - Wisteria sin. 'Prolific' Blauw ,,1.0,Planten 2 liter ( C2 ):,254
204.3p,KAS,C2 - Wisteria sin. 'Prolific' Blauw ,,1.0,Planten 2 liter ( C2 ):,254
207.0,KAS,C2 - Hydrangea macr. Blauw,,2.0,Planten 2 liter ( C2 ):,256
207.0p,KAS,C2 - Hydrangea macr. Blauw,,2.0,Planten 2 liter ( C2 ):,256
207.4,KAS,C2 - Hydrangea macr. Blauw,,1.0,Planten 2 liter ( C2 ):,256
207.4p,KAS,C2 - Hydrangea macr. Blauw,,1.0,Planten 2 liter ( C2 ):,256
206.1,KAS,C2 - Hydrangea macr. Blauw,,1.0,Planten 2 liter ( C2 ):,256
206.1p,KAS,C2 - Hydrangea macr. Blauw,,1.0,Planten 2 liter ( C2 ):,256
207.1,KAS,C2 - Hydrangea macr. Rood ,,2.0,Planten 2 liter ( C2 ):,257
207.1p,KAS,C2 - Hydrangea macr. Rood ,,2.0,Planten 2 liter ( C2 ):,257
207.4,KAS,C2 - Hydrangea macr. Rood ,,1.0,Planten 2 liter ( C2 ):,257
207.4p,KAS,C2 - Hydrangea macr. Rood ,,1.0,Planten 2 liter ( C2 ):,257
206.2,KAS,C2 - Hydrangea macr. Rood ,,1.0,Planten 2 liter ( C2 ):,257
206.2p,KAS,C2 - Hydrangea macr. Rood ,,1.0,Planten 2 liter ( C2 ):,257
207.2,KAS,C2 - Hydrangea macr. Roze,,2.0,Planten 2 liter ( C2 ):,258
207.2p,KAS,C2 - Hydrangea macr. Roze,,2.0,Planten 2 liter ( C2 ):,258
207.4,KAS,C2 - Hydrangea macr. Roze,,1.0,Planten 2 liter ( C2 ):,258
207.4p,KAS,C2 - Hydrangea macr. Roze,,1.0,Planten 2 liter ( C2 ):,258
206.3,KAS,C2 - Hydrangea macr. Roze,,1.0,Planten 2 liter ( C2 ):,258
206.3p,KAS,C2 - Hydrangea macr. Roze,,1.0,Planten 2 liter ( C2 ):,258
207.3,KAS,C2 - Hydrangea macr. Wit,,2.0,Planten 2 liter ( C2 ):,259
207.3p,KAS,C2 - Hydrangea macr. Wit,,2.0,Planten 2 liter ( C2 ):,259
207.4,KAS,C2 - Hydrangea macr. Wit,,1.0,Planten 2 liter ( C2 ):,259
207.4p,KAS,C2 - Hydrangea macr. Wit,,1.0,Planten 2 liter ( C2 ):,259
206.4,KAS,C2 - Hydrangea macr. Wit,,1.0,Planten 2 liter ( C2 ):,259
206.4p,KAS,C2 - Hydrangea macr. Wit,,1.0,Planten 2 liter ( C2 ):,259
T010,KAS,C2 - Lavendel,,4.0,Planten 2 liter ( C2 ):,261
T010p,KAS,C2 - Lavendel,,4.0,Planten 2 liter ( C2 ):,261
T011,KAS,C2 - Lavendel,,6.0,Planten 2 liter ( C2 ):,261
T011p,KAS,C2 - Lavendel,,6.0,Planten 2 liter ( C2 ):,261
T012,KAS,C2 - Lavendel,,8.0,Planten 2 liter ( C2 ):,261
T012p,KAS,C2 - Lavendel,,8.0,Planten 2 liter ( C2 ):,261
209.0,KAS,C2 - Cornus alba 'Siberica',,2.0,Planten 2 liter ( C2 ):,263
209.0p,KAS,C2 - Cornus alba 'Siberica',,2.0,Planten 2 liter ( C2 ):,263
209.5,KAS,C2 - Cornus alba 'Siberica',,1.0,Planten 2 liter ( C2 ):,263
209.5p,KAS,C2 - Cornus alba 'Siberica',,1.0,Planten 2 liter ( C2 ):,263
209.1,KAS,C2 - Deutzia scabra ,,2.0,Planten 2 liter ( C2 ):,264
209.1p,KAS,C2 - Deutzia scabra ,,2.0,Planten 2 liter ( C2 ):,264
209.5,KAS,C2 - Deutzia scabra ,,1.0,Planten 2 liter ( C2 ):,264
209.5p,KAS,C2 - Deutzia scabra ,,1.0,Planten 2 liter ( C2 ):,264
209.2,KAS,C2 - Forsythia int. 'Spectabilis' ,,2.0,Planten 2 liter ( C2 ):,265
209.2p,KAS,C2 - Forsythia int. 'Spectabilis' ,,2.0,Planten 2 liter ( C2 ):,265
209.5,KAS,C2 - Forsythia int. 'Spectabilis' ,,1.0,Planten 2 liter ( C2 ):,265
209.5p,KAS,C2 - Forsythia int. 'Spectabilis' ,,1.0,Planten 2 liter ( C2 ):,265
209.3,KAS,C2 - Philadelphus 'Virginal' ,,2.0,Planten 2 liter ( C2 ):,266
209.3p,KAS,C2 - Philadelphus 'Virginal' ,,2.0,Planten 2 liter ( C2 ):,266
209.5,KAS,C2 - Philadelphus 'Virginal' ,,1.0,Planten 2 liter ( C2 ):,266
209.5p,KAS,C2 - Philadelphus 'Virginal' ,,1.0,Planten 2 liter ( C2 ):,266
209.4,KAS,C2 - Weigela 'Bristol Ruby' ,,2.0,Planten 2 liter ( C2 ):,267
209.4p,KAS,C2 - Weigela 'Bristol Ruby' ,,2.0,Planten 2 liter ( C2 ):,267
209.5,KAS,C2 - Weigela 'Bristol Ruby' ,,1.0,Planten 2 liter ( C2 ):,267
209.5p,KAS,C2 - Weigela 'Bristol Ruby' ,,1.0,Planten 2 liter ( C2 ):,267
210.0,KAS,C3 - Hibiscus syr. 'Totus Albus' Wit,,2.0,Planten 3 liter ( C3 ):,270
210.0p,KAS,C3 - Hibiscus syr. 'Totus Albus' Wit,,2.0,Planten 3 liter ( C3 ):,270
210.4,KAS,C3 - Hibiscus syr. 'Totus Albus' Wit,,1.0,Planten 3 liter ( C3 ):,270
210.4p,KAS,C3 - Hibiscus syr. 'Totus Albus' Wit,,1.0,Planten 3 liter ( C3 ):,270
210.1,KAS,C3 - Hibiscus syr. 'Oiseau Bleu' Blauw,,2.0,Planten 3 liter ( C3 ):,271
210.1p,KAS,C3 - Hibiscus syr. 'Oiseau Bleu' Blauw,,2.0,Planten 3 liter ( C3 ):,271
210.4,KAS,C3 - Hibiscus syr. 'Oiseau Bleu' Blauw,,1.0,Planten 3 liter ( C3 ):,271
210.4p,KAS,C3 - Hibiscus syr. 'Oiseau Bleu' Blauw,,1.0,Planten 3 liter ( C3 ):,271
210.2,KAS,C3 - Hibiscus syr. 'Woodbridge' Roze,,2.0,Planten 3 liter ( C3 ):,272
210.2p,KAS,C3 - Hibiscus syr. 'Woodbridge' Roze,,2.0,Planten 3 liter ( C3 ):,272
210.4,KAS,C3 - Hibiscus syr. 'Woodbridge' Roze,,1.0,Planten 3 liter ( C3 ):,272
210.4p,KAS,C3 - Hibiscus syr. 'Woodbridge' Roze,,1.0,Planten 3 liter ( C3 ):,272
210.3,KAS,C3 - Hibiscus syr. 'Hamabo' Wit met rood hart,,2.0,Planten 3 liter ( C3 ):,273
210.3p,KAS,C3 - Hibiscus syr. 'Hamabo' Wit met rood hart,,2.0,Planten 3 liter ( C3 ):,273
210.4,KAS,C3 - Hibiscus syr. 'Hamabo' Wit met rood hart,,1.0,Planten 3 liter ( C3 ):,273
210.4p,KAS,C3 - Hibiscus syr. 'Hamabo' Wit met rood hart,,1.0,Planten 3 liter ( C3 ):,273
64.1,KAS,Elaeagnus ebbingei,,3.0,Wintergroene heesters:,276
64.1p,KAS,Elaeagnus ebbingei,,3.0,Wintergroene heesters:,276
64.2,KAS,Elaeagnus ebbingei,,6.0,Wintergroene heesters:,276
64.2p,KAS,Elaeagnus ebbingei,,6.0,Wintergroene heesters:,276
61.1,KAS,Ilex aquifolium 'Argentea Marginata',,3.0,Wintergroene heesters:,277
61.1p,KAS,Ilex aquifolium 'Argentea Marginata',,3.0,Wintergroene heesters:,277
61.2,KAS,Ilex aquifolium 'Argentea Marginata',,6.0,Wintergroene heesters:,277
61.2p,KAS,Ilex aquifolium 'Argentea Marginata',,6.0,Wintergroene heesters:,277
63.1,KAS,Ilex aquifolium 'Argentea Marginata',,1.0,Wintergroene heesters:,277
63.1p,KAS,Ilex aquifolium 'Argentea Marginata',,1.0,Wintergroene heesters:,277
63.2,KAS,Ilex aquifolium 'Argentea Marginata',,2.0,Wintergroene heesters:,277
63.2p,KAS,Ilex aquifolium 'Argentea Marginata',,2.0,Wintergroene heesters:,277
60.1,KAS,Ilex meserveae 'Blue Maid',,3.0,Wintergroene heesters:,278
60.1p,KAS,Ilex meserveae 'Blue Maid',,3.0,Wintergroene heesters:,278
60.2,KAS,Ilex meserveae 'Blue Maid',,6.0,Wintergroene heesters:,278
60.2p,KAS,Ilex meserveae 'Blue Maid',,6.0,Wintergroene heesters:,278
63.1,KAS,Ilex meserveae 'Blue Maid',,1.0,Wintergroene heesters:,278
63.1p,KAS,Ilex meserveae 'Blue Maid',,1.0,Wintergroene heesters:,278
63.2,KAS,Ilex meserveae 'Blue Maid',,2.0,Wintergroene heesters:,278
63.2p,KAS,Ilex meserveae 'Blue Maid',,2.0,Wintergroene heesters:,278
63.1,KAS,Photinia fras. 'Red Robin' - P9,,1.0,Wintergroene heesters:,279
63.1p,KAS,Photinia fras. 'Red Robin' - P9,,1.0,Wintergroene heesters:,279
63.2,KAS,Photinia fras. 'Red Robin' - P9,,2.0,Wintergroene heesters:,279
63.2p,KAS,Photinia fras. 'Red Robin' - P9,,2.0,Wintergroene heesters:,279
24.1,KAS,Photinia fras. 'Red Robin' - P9,,3.0,Wintergroene heesters:,279
24.1p,KAS,Photinia fras. 'Red Robin' - P9,,3.0,Wintergroene heesters:,279
24.2,KAS,Photinia fras. 'Red Robin' - P9,,6.0,Wintergroene heesters:,279
24.2p,KAS,Photinia fras. 'Red Robin' - P9,,6.0,Wintergroene heesters:,279
12.1,KAS,Photinia fras. Carré Rouge - P15,,2.0,Wintergroene heesters:,280
12.1p,KAS,Photinia fras. Carré Rouge - P15,,2.0,Wintergroene heesters:,280
12.2,KAS,Photinia fras. Carré Rouge - P15,,4.0,Wintergroene heesters:,280
12.2p,KAS,Photinia fras. Carré Rouge - P15,,4.0,Wintergroene heesters:,280
62.1,KAS,Prunus lusitanica 'Angustifolia',,3.0,Wintergroene heesters:,281
62.1p,KAS,Prunus lusitanica 'Angustifolia',,3.0,Wintergroene heesters:,281
62.2,KAS,Prunus lusitanica 'Angustifolia',,6.0,Wintergroene heesters:,281
62.2p,KAS,Prunus lusitanica 'Angustifolia',,6.0,Wintergroene heesters:,281
63.1,KAS,Prunus lusitanica 'Angustifolia',,1.0,Wintergroene heesters:,281
63.1p,KAS,Prunus lusitanica 'Angustifolia',,1.0,Wintergroene heesters:,281
63.2,KAS,Prunus lusitanica 'Angustifolia',,2.0,Wintergroene heesters:,281
63.2p,KAS,Prunus lusitanica 'Angustifolia',,2.0,Wintergroene heesters:,281
202.0,KAS,C4 - Zuil Appel,,2.0,Kas diversen:,284
202.0p,KAS,C4 - Zuil Appel,,2.0,Kas diversen:,284
202.2,KAS,C4 - Zuil Appel,,1.0,Kas diversen:,284
202.2p,KAS,C4 - Zuil Appel,,1.0,Kas diversen:,284
202.3,KAS,C4 - Zuil Appel,,1.0,Kas diversen:,284
202.3p,KAS,C4 - Zuil Appel,,1.0,Kas diversen:,284
202.1,KAS,C4 - Zuil Peer,,2.0,Kas diversen:,285
202.1p,KAS,C4 - Zuil Peer,,2.0,Kas diversen:,285
202.2,KAS,C4 - Zuil Peer,,1.0,Kas diversen:,285
202.2p,KAS,C4 - Zuil Peer,,1.0,Kas diversen:,285
202.4,KAS,C4 - Zuil Peer,,1.0,Kas diversen:,285
202.4p,KAS,C4 - Zuil Peer,,1.0,Kas diversen:,285
107.0,KAS,Choisya ternata 'Sundance' - P9,,2.0,Kas diversen:,286
107.0p,KAS,Choisya ternata 'Sundance' - P9,,2.0,Kas diversen:,286
107.1,KAS,Choisya ternata 'Sundance' - P9,,3.0,Kas diversen:,286
107.1p,KAS,Choisya ternata 'Sundance' - P9,,3.0,Kas diversen:,286
107.2,KAS,Choisya ternata 'Sundance' - P9,,6.0,Kas diversen:,286
107.2p,KAS,Choisya ternata 'Sundance' - P9,,6.0,Kas diversen:,286
22.1,KAS,Eucalyptus Gunnii Azura op stam ,,1.0,Kas diversen:,287
22.1p,KAS,Eucalyptus Gunnii Azura op stam ,,1.0,Kas diversen:,287
22.2,KAS,Eucalyptus Gunnii Azura op stam ,,2.0,Kas diversen:,287
22.2p,KAS,Eucalyptus Gunnii Azura op stam ,,2.0,Kas diversen:,287
259.1,KAS,Eucalyptus 'Silver Dollar' XXL,,1.0,Kas diversen:,288
259.1p,KAS,Eucalyptus 'Silver Dollar' XXL,,1.0,Kas diversen:,288
259.2,KAS,Eucalyptus 'Silver Dollar' XXL,,2.0,Kas diversen:,288
259.2p,KAS,Eucalyptus 'Silver Dollar' XXL,,2.0,Kas diversen:,288
280.1,KAS,Eucalyptus Gunnii Azura struik,,1.0,Kas diversen:,289
280.1p,KAS,Eucalyptus Gunnii Azura struik,,1.0,Kas diversen:,289
280.2,KAS,Eucalyptus Gunnii Azura struik,,2.0,Kas diversen:,289
280.2p,KAS,Eucalyptus Gunnii Azura struik,,2.0,Kas diversen:,289
23.1,KAS,"Salix integra ""Flamingo"" struik",,3.0,Kas diversen:,290
23.1p,KAS,"Salix integra ""Flamingo"" struik",,3.0,Kas diversen:,290
23.2,KAS,"Salix integra ""Flamingo"" struik",,6.0,Kas diversen:,290
23.2p,KAS,"Salix integra ""Flamingo"" struik",,6.0,Kas diversen:,290
23.3,KAS,"Salix integra ""Flamingo"" op stam",,1.0,Kas diversen:,291
23.3p,KAS,"Salix integra ""Flamingo"" op stam",,1.0,Kas diversen:,291
23.4,KAS,"Salix integra ""Flamingo"" op stam",,2.0,Kas diversen:,291
23.4p,KAS,"Salix integra ""Flamingo"" op stam",,2.0,Kas diversen:,291
32.1,KAS,Wisteria,,3.0,Kas diversen:,292
32.1p,KAS,Wisteria,,3.0,Kas diversen:,292
32.2,KAS,Wisteria,,6.0,Kas diversen:,292
32.2p,KAS,Wisteria,,6.0,Kas diversen:,292
114.1,KAMER,Alocasia 'Polly' - P12,,1.0,Kamerplanten klein:,7
114.1p,KAMER,Alocasia 'Polly' - P12,,1.0,Kamerplanten klein:,7
123.1,KAMER,Areca Dypsis Lutescens - P12,,1.0,Kamerplanten klein:,8
123.1p,KAMER,Areca Dypsis Lutescens - P12,,1.0,Kamerplanten klein:,8
116.1,KAMER,Asparagus Plumosus - P12,,1.0,Kamerplanten klein:,9
116.1p,KAMER,Asparagus Plumosus - P12,,1.0,Kamerplanten klein:,9
117.1,KAMER,Asplenium Antiquum - P12,,1.0,Kamerplanten klein:,10
117.1p,KAMER,Asplenium Antiquum - P12,,1.0,Kamerplanten klein:,10
122.1,KAMER,Asplenium Antiquum - P12,,1.0,Kamerplanten klein:,10
122.1p,KAMER,Asplenium Antiquum - P12,,1.0,Kamerplanten klein:,10
119.1,KAMER,Asplenium Parvati - P12,,1.0,Kamerplanten klein:,11
119.1p,KAMER,Asplenium Parvati - P12,,1.0,Kamerplanten klein:,11
122.1,KAMER,Asplenium Parvati - P12,,1.0,Kamerplanten klein:,11
122.1p,KAMER,Asplenium Parvati - P12,,1.0,Kamerplanten klein:,11
119.1,KAMER,Chamaedorea Elegance - P12,,1.0,Kamerplanten klein:,12
119.1p,KAMER,Chamaedorea Elegance - P12,,1.0,Kamerplanten klein:,12
118.1,KAMER,Chamaedorea Elegance - P12,,1.0,Kamerplanten klein:,12
118.1p,KAMER,Chamaedorea Elegance - P12,,1.0,Kamerplanten klein:,12
119.1,KAMER,Chlorophytum Variegatum - P12,,1.0,Kamerplanten klein:,13
119.1p,KAMER,Chlorophytum Variegatum - P12,,1.0,Kamerplanten klein:,13
118.1,KAMER,Coffea Arabica - P12,,1.0,Kamerplanten klein:,15
118.1p,KAMER,Coffea Arabica - P12,,1.0,Kamerplanten klein:,15
115.1,KAMER,Croton Sunny Star - P12,,1.0,Kamerplanten klein:,16
115.1p,KAMER,Croton Sunny Star - P12,,1.0,Kamerplanten klein:,16
115.1,KAMER,Dieffenbachia Camilla - P12,,1.0,Kamerplanten klein:,17
115.1p,KAMER,Dieffenbachia Camilla - P12,,1.0,Kamerplanten klein:,17
120.1,KAMER,Dracaena Compacta - P12,,2.0,Kamerplanten klein:,18
120.1p,KAMER,Dracaena Compacta - P12,,2.0,Kamerplanten klein:,18
117.1,KAMER,Dracaena Compacta - P12,,1.0,Kamerplanten klein:,18
117.1p,KAMER,Dracaena Compacta - P12,,1.0,Kamerplanten klein:,18
116.1,KAMER,Dracaena Compacta - P12,,1.0,Kamerplanten klein:,18
116.1p,KAMER,Dracaena Compacta - P12,,1.0,Kamerplanten klein:,18
118.1,KAMER,Dracaena Compacta - P12,,1.0,Kamerplanten klein:,18
118.1p,KAMER,Dracaena Compacta - P12,,1.0,Kamerplanten klein:,18
120.1,KAMER,Dracaena 'Lemon Lime' - P12,,2.0,Kamerplanten klein:,19
120.1p,KAMER,Dracaena 'Lemon Lime' - P12,,2.0,Kamerplanten klein:,19
115.1,KAMER,Dracaena 'Lemon Lime' - P12,,1.0,Kamerplanten klein:,19
115.1p,KAMER,Dracaena 'Lemon Lime' - P12,,1.0,Kamerplanten klein:,19
123.1,KAMER,Ficus Bengalensis - P12,,1.0,Kamerplanten klein:,20
123.1p,KAMER,Ficus Bengalensis - P12,,1.0,Kamerplanten klein:,20
121.1,KAMER,Ficus Benjamina 'Green Kinky' - P12,,1.0,Kamerplanten klein:,21
121.1p,KAMER,Ficus Benjamina 'Green Kinky' - P12,,1.0,Kamerplanten klein:,21
119.1,KAMER,Ficus Benjamina 'Kinky' - P12,,1.0,Kamerplanten klein:,22
119.1p,KAMER,Ficus Benjamina 'Kinky' - P12,,1.0,Kamerplanten klein:,22
121.1,KAMER,Ficus Benjamina 'Kinky' - P12,,1.0,Kamerplanten klein:,22
121.1p,KAMER,Ficus Benjamina 'Kinky' - P12,,1.0,Kamerplanten klein:,22
121.1,KAMER,Ficus Benjamina 'Natasja' - P12,,1.0,Kamerplanten klein:,23
121.1p,KAMER,Ficus Benjamina 'Natasja' - P12,,1.0,Kamerplanten klein:,23
115.1,KAMER,Ficus Benjamina 'Natasja' - P12,,1.0,Kamerplanten klein:,23
115.1p,KAMER,Ficus Benjamina 'Natasja' - P12,,1.0,Kamerplanten klein:,23
117.1,KAMER,Ficus Elastica 'Robusta' - P12,,1.0,Kamerplanten klein:,24
117.1p,KAMER,Ficus Elastica 'Robusta' - P12,,1.0,Kamerplanten klein:,24
114.1,KAMER,Maranta Kerchoveana - P12,,1.0,Kamerplanten klein:,25
114.1p,KAMER,Maranta Kerchoveana - P12,,1.0,Kamerplanten klein:,25
114.1,KAMER,Musa Oriental Dwarf - P12,,1.0,Kamerplanten klein:,26
114.1p,KAMER,Musa Oriental Dwarf - P12,,1.0,Kamerplanten klein:,26
118.1,KAMER,Musa Oriental Dwarf - P12,,1.0,Kamerplanten klein:,26
118.1p,KAMER,Musa Oriental Dwarf - P12,,1.0,Kamerplanten klein:,26
123.1,KAMER,Musa Oriental Dwarf - P12,,1.0,Kamerplanten klein:,26
123.1p,KAMER,Musa Oriental Dwarf - P12,,1.0,Kamerplanten klein:,26
102.1,KAMER,Musa Oriental Dwarf - P12,,3.0,Kamerplanten klein:,26
102.1p,KAMER,Musa Oriental Dwarf - P12,,3.0,Kamerplanten klein:,26
102.2,KAMER,Musa Oriental Dwarf - P12,,6.0,Kamerplanten klein:,26
102.2p,KAMER,Musa Oriental Dwarf - P12,,6.0,Kamerplanten klein:,26
116.1,KAMER,Nephrolepis Boston - P12,,1.0,Kamerplanten klein:,27
116.1p,KAMER,Nephrolepis Boston - P12,,1.0,Kamerplanten klein:,27
122.1,KAMER,Nephrolepis Boston - P12,,1.0,Kamerplanten klein:,27
122.1p,KAMER,Nephrolepis Boston - P12,,1.0,Kamerplanten klein:,27
114.1,KAMER,Peperomia Lilian - P12,,1.0,Kamerplanten klein:,28
114.1p,KAMER,Peperomia Lilian - P12,,1.0,Kamerplanten klein:,28
117.1,KAMER,Spathiphyllum Korto - P12,,1.0,Kamerplanten klein:,29
117.1p,KAMER,Spathiphyllum Korto - P12,,1.0,Kamerplanten klein:,29
117.1,KAMER,Syngonium Arrow - P12,,1.0,Kamerplanten klein:,30
117.1p,KAMER,Syngonium Arrow - P12,,1.0,Kamerplanten klein:,30
116.1,KAMER,Syngonium Arrow - P12,,1.0,Kamerplanten klein:,30
116.1p,KAMER,Syngonium Arrow - P12,,1.0,Kamerplanten klein:,30
141.1,KAMER,Cycas Revoluta Medium,,1.0,Kamerplanten groot:,59
141.1p,KAMER,Cycas Revoluta Medium,,1.0,Kamerplanten groot:,59
141.2,KAMER,Cycas Revoluta Medium,,2.0,Kamerplanten groot:,59
141.2p,KAMER,Cycas Revoluta Medium,,2.0,Kamerplanten groot:,59
141.3,KAMER,Cycas Revoluta Large,,1.0,Kamerplanten groot:,60
141.3p,KAMER,Cycas Revoluta Large,,1.0,Kamerplanten groot:,60
141.4,KAMER,Cycas Revoluta Large,,2.0,Kamerplanten groot:,60
141.4p,KAMER,Cycas Revoluta Large,,2.0,Kamerplanten groot:,60
128.1,KAMER,Chamaedorea Elegance - P17,,1.0,Kamerplanten groot:,61
128.1p,KAMER,Chamaedorea Elegance - P17,,1.0,Kamerplanten groot:,61
128.2,KAMER,Chamaedorea Elegance - P17,,2.0,Kamerplanten groot:,61
128.2p,KAMER,Chamaedorea Elegance - P17,,2.0,Kamerplanten groot:,61
2.8,KAMER,Strelitzia Reginae - P9,,1.0,Kamerplanten rest:,89
2.8p,KAMER,Strelitzia Reginae - P9,,1.0,Kamerplanten rest:,89
2.9,KAMER,Strelitzia Reginae - P9,,2.0,Kamerplanten rest:,89
2.9p,KAMER,Strelitzia Reginae - P9,,2.0,Kamerplanten rest:,89
104.1,KAMER,Strelitzia Reginae - P9,,3.0,Kamerplanten rest:,89
104.1p,KAMER,Strelitzia Reginae - P9,,3.0,Kamerplanten rest:,89
104.2,KAMER,Strelitzia Reginae - P9,,6.0,Kamerplanten rest:,89
104.2p,KAMER,Strelitzia Reginae - P9,,6.0,Kamerplanten rest:,89
3.1p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
3.2p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
3.3p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
3.4p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
3.5p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
3.6p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
3.7p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
3.8p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
4.0p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
4.1p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
4.2p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
4.3p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
6.1p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
6.2p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
6.3p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
6.4p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
6.5p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
12.1p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
12.2p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
13.1p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
13.2p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
13.3p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
13.4p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
13.5p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
13.6p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
13.7p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
14.1p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
14.2p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
16.1p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
16.2p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
16.3p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
16.4p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
16.5p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
16.6p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
16.7p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
16.8p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
16.9p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
19.0p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
19.1p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
19.2p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
21.0p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
21.1p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
21.2p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
22.1p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
22.2p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
23.1p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
23.2p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
23.3p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
23.4p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
24.1p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
24.2p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
25.1p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
25.2p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
32.1p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
32.2p,POKON,Pokon Tuinmest 1kg,,1.0,Pokon:,7
